PAH_num,Name,Formula,CAS,SMILES,InChIKey,Molar_Mass_g_mol,Length_A,Width_A,Length_to_Width_Ratio,Vertical_IE_eV,Dipole_Moment_Debye
256,"Acenaphtho[1,2-j]fluoranthene",C26H14,193-21-5,c12cccc3c1c(ccc2)c1c3c2c(cc1)c1c3c2cccc3ccc1,ILYGRCGTUMHLGR-UHFFFAOYSA-N,326.389,15.11,10.02,1.509,5.5675,344.8707
257,"Acenaphtho[1,2-k]fluoranthene",C26H14,207-02-3,c12cccc3c1c(ccc2)c1c3cc2c(c1)c1c3c2cccc3ccc1,IBCQJZJYWIVXRR-UHFFFAOYSA-N,326.389,15.38,9.208,1.67,5.5838,344.8376
258,"Fluoreno[3,2,1,9-defg]chrysene",C26H14,192-35-8,c1ccc2c3c1ccc1c3c3c(c2)c2c(c3c3c1cccc3)cccc2,ZQHRQRDYSRXCRZ-UHFFFAOYSA-N,326.389,13.75,12.11,1.135,5.2055,497.1214
259,"Benz[def]indeno[1,2,3-qr]chrysene",C26H14,111189-34-5,c1ccc2c(c1)c1ccc3c4c1c2cc1c4c(cc2c1cccc2)cc3,FSUPSEJFXMSVMS-UHFFFAOYSA-N,326.389,14.99,11.13,1.347,5.2708,389.1085
260,"Benz[def]indeno[1,2,3-hi]chrysene",C26H14,111189-33-4,c1ccc2c(c1)c1c3c2cccc3c2ccc3cccc4c3c2c1cc4,UEKNZIHLUVKZBV-UHFFFAOYSA-N,326.389,14.91,10.79,1.382,5.2409,538.936
261,"Indeno[1,2,3-cd]perylene",C26H14,101686-49-1,c1ccc2c(c1)c1c3c2ccc2c3c(cc1)c1cccc3c1c2ccc3,YTUILTQRCVAYNB-UHFFFAOYSA-N,326.389,15.32,9.178,1.669,5.1375,604.9063
262,"Dibenzo[a,ghi]perylene",C26H14,6596-37-8,c1ccc2c(c1)c1c3c(c2)ccc2ccc4c(c32)c2c1cccc2cc4,DECRKOPMWFTBLW-UHFFFAOYSA-N,326.389,13.78,11.62,1.186,5.0559,468.463
263,"Naphtho[1,2,3,4-ghi]perylene",C26H14,190-84-1,c1ccc2c3c1ccc1c3c3c(ccc4c3c2ccc4)c2c1cccc2,LGERRYPEGFPVAJ-UHFFFAOYSA-N,326.389,13.76,11.65,1.182,5.143,459.0639
264,"Benzo[qr]naphtho[3,2,1,8-defg]chrysene",C26H14,75459-05-1,c1ccc2cc3c4c5c(cccc5cc5c4c2c1cc5)c1c3cccc1,YZNYTCNWHPVGCN-UHFFFAOYSA-N,326.389,13.81,11.13,1.241,5.045,476.5996
265,"Dibenzo[b,ghi]perylene",C26H14,5869-30-7,c1ccc2c(c1)c1ccc3ccc4ccc5cccc6c(c2)c1c3c4c56,IFVJOTZHJJLMIO-UHFFFAOYSA-N,326.389,14.27,11.12,1.284,5.2055,423.0373
266,"Dibenzo[b,pqr]perylene",C26H14,190-95-4,c1ccc2c(c1)c1ccc3ccc4cccc5c6cccc2c6c1c3c45,UJPJAAQMHAHWRM-UHFFFAOYSA-N,326.389,13.8,10.41,1.325,5.3416,462.9471
267,"Naphtho[8,1,2-bcd]perylene",C26H14,188-89-6,c1cc2cccc3c2c(c1)c1ccc2c4c1c3cc1cccc(c41)cc2,HLQQSCPDTAIJEZ-UHFFFAOYSA-N,326.389,14.28,10.32,1.384,4.9171,542.8237
268,"Naphtho[7,8,1,2,3-pqrst]pentaphene",C26H14,,c1ccc2c(c1)c1cc3ccc4cccc5cc6ccc(c2)c1c6c3c45,GKEMIORMJMEBBA-UHFFFAOYSA-N,326.389,15.87,10.44,1.52,4.9579,528.5022
269,"Anthra[2,1,9,8-opqra]naphthacene",C26H14,92586-98-6,c1ccc2c(c1)c1ccc3cc4cccc5ccc6cc(c2)c1c3c6c45,WARJAZBCGQDLQD-UHFFFAOYSA-N,326.389,15.3,9.553,1.601,4.7892,462.6831
270,"Dibenzo[cd,lm]perylene",C26H14,188-96-5,c1ccc2ccc3c4c(ccc1c24)c1ccc2cccc4ccc3c1c24,WCXXBFNWCCIYQO-UHFFFAOYSA-N,326.389,15.86,9.201,1.724,4.9361,314.2784
271,"Phenanthro[3,4-c]phenanthrene",C26H16,187-83-7,c1cccc2c1ccc1c2c2c(cc1)ccc1c2c2c(cc1)cccc2,UOYPNWSDSPYOSN-UHFFFAOYSA-N,328.405,11.5,11.12,1.034,5.5266,351.5893
272,"Dibenzo[g,p]chrysene",C26H16,191-68-4,c1ccc2c(c1)c1c(c3c2cccc3)c2c(c3c1cccc3)cccc2,GQDKQZAEQBGVBS-UHFFFAOYSA-N,328.405,13.82,12.84,1.076,5.4885,399.6471
273,"Naphtho[2,3-g]chrysene",C26H16,196-64-5,c1ccc2c(c1)cc1c(c2)c2c(cccc2)c2c1c1c(cc2)cccc1,JBHIIKGZANVCJJ-UHFFFAOYSA-N,328.405,13.96,12.53,1.114,5.3225,433.0711
274,"Phenanthro[4,3-a]anthracene",C26H16,58029-40-6,c1ccc2c(c1)cc1c(c2)ccc2c1c1c(cc2)ccc2c1cccc2,ZEIQRUVRGDCWFW-UHFFFAOYSA-N,328.405,13.69,11.79,1.162,5.2518,427.4905
275,"Naphtho[1,2-g]chrysene",C26H16,191-67-3,c1ccc2c(c1)ccc1c2c2c(ccc3c2cccc3)c2c1cccc2,CGBYIJDDWOKUDY-UHFFFAOYSA-N,328.405,13.6,11.71,1.161,5.4504,436.7279
276,"Dibenzo[c,p]chrysene",C26H16,196-52-1,c1ccc2c(c1)c1c(cc2)c2c(cccc2)c2c1ccc1c2cccc1,RJXPMUHZQGSTIM-UHFFFAOYSA-N,328.405,13.99,11.6,1.205,5.4423,456.8826
277,"Anthra[1,2-a]anthracene",C26H16,195-00-6,c1ccc2c(c1)cc1c(c2)ccc2c1c1c(cc2)cc2c(c1)cccc2,SKGCHQOKVMMIST-UHFFFAOYSA-N,328.405,14.79,11.31,1.308,5.1021,490.1744
278,"Naphtho[2,1-c]chrysene",C26H16,58029-44-0,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cc2)c2c(cc1)cccc2,KUVDSBPSRCGLQY-UHFFFAOYSA-N,328.405,14.04,10.68,1.315,5.5185,460.3692
279,"Benzo[a]naphth[2,1-j]anthracene",C26H16,58029-41-7,c1c2c(ccc1)ccc1c2c2c(cc1)cc1c(c2)c2c(cc1)cccc2,ZBZZOHXHGVBNSK-UHFFFAOYSA-N,328.405,14.35,10.91,1.315,5.347,484.7876
280,"Dibenzo[c,g]chrysene",C26H16,53156-66-4,c1c2c(ccc1)c1c(c3c2cccc3)c2c3ccccc3ccc2cc1,XPJUXTZYXPASRB-UHFFFAOYSA-N,328.405,13.74,10.24,1.341,5.5484,442.915
281,Benzo[h]pentaphene,C26H16,214-91-5,c1ccc2c(c1)cc1c(c2)c2c(c3c1cc1c(c3)cccc1)cccc2,FUDUPLHPBBXJRW-UHFFFAOYSA-N,328.405,15.89,11.65,1.364,5.5511,383.6319
282,"Dibenzo[a,c]naphthacene",C26H16,216-00-2,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1c(cccc1)c1c2cccc1,SDWITIWFFMGFHS-UHFFFAOYSA-N,328.405,16.03,11.38,1.409,5.1103,341.1595
283,"Naphtho[1,2-b]triphenylene",C26H16,215-26-9,c1cc2c(cc1)c1c(cc2)cc2c(c1)c1c(cccc1)c1c2cccc1,GWBFCDHVRQBXAV-UHFFFAOYSA-N,328.405,15.68,11.14,1.407,5.5647,434.7166
284,"Dibenzo[b,p]chrysene",C26H16,58029-42-8,c1ccc2c(c1)cc1c(c2)c2c(c3c1ccc1c3cccc1)cccc2,IHEBWZXQTKEVFX-UHFFFAOYSA-N,328.405,15.97,11.14,1.434,5.3525,524.3472
285,"Naphtho[2,3-c]chrysene",C26H16,58029-37-1,c1ccc2c(c1)cc1c(c2)ccc2c1c1c(cc2)c2c(cc1)cccc2,CYSCEOMFFBJLMT-UHFFFAOYSA-N,328.405,16.27,10.51,1.548,5.3171,541.75
