PAH_num,Name,Formula,CAS,SMILES,InChIKey,Molar_Mass_g_mol,Length_A,Width_A,Length_to_Width_Ratio,Vertical_IE_eV,Dipole_Moment_Debye
324,"Dibenzo[a,o]perylene",C28H16,1903-63-,c1c2c(ccc1)c1c3c(c2)cccc3c2c3c1c1c(cc3ccc2)cccc1,PYTPIODZIPXLKF-UHFFFAOYSA-N,352.427,11.96,11.32,1.056,4.6967,474.2712
325,"Phenanthro[1,2,3,4-def]chrysene",C28H16,137570-58-2,c1ccc2c(c1)cc1c3c4c(cccc4ccc23)c2c1c1c(cc2)cccc1,XPTDLICQJSFQHQ-UHFFFAOYSA-N,352.427,13.96,12.54,1.113,5.162,452.9005
326,"Benzo[fg]naphtho[1,2,3-op]naphthacene",C28H16,1375705-93-,c12cc3c(c4c1c1c(cccc1c1c4cccc1)c1c2cccc1)cccc3,GNCHMTPNWROHDF-UHFFFAOYSA-N,352.427,13.72,11.88,1.155,5.3171,473.2651
327,"Benzo[p]naphtho[1,8,7-ghi]chrysene",C28H16,385-14-8,c1ccc2c3c1ccc1cccc(c31)c1c2c2c(cccc2)c2c1cccc2,PCFZQDQXEZJNAF-UHFFFAOYSA-N,352.427,12.92,11.43,1.13,5.2246,444.1468
328,"Dibenzo[a,f]perylene",C28H16,1912-97-,c1cc2c3c(c1)cccc3c1c3c2c2c(cc3cc3c1cccc3)cccc2,LUNAYPYLUWMUNY-UHFFFAOYSA-N,352.427,13.79,11.76,1.173,4.6096,518.7732
329,"Tribenzo[c,g,mno]chrysene",C28H16,108650-10-8,c1c2c3c4c5ccccc5ccc4cc4c3c3c(cc4)cccc3c2ccc1,FQQMOYDETRPXHH-UHFFFAOYSA-N,352.427,14.17,11.6,1.222,5.2736,508.3576
330,"Dibenzo[a,n]perylene",C28H16,1918-11-,c1c2c(ccc1)cc1c3c2c2c4c(c3ccc1)cccc4c1c(c2)cccc1,ZMEZWZQVJAYSED-UHFFFAOYSA-N,352.427,13.95,11.51,1.211,4.8518,525.2111
331,"Benzo[de]naphtho[3,2,1-mn]naphthacene",C28H16,1208354-52-,c1ccc2c3c1cccc3cc1c2cc2cccc3c2c1c1c(c3)cccc1,LJCBBDQFUFHQPW-UHFFFAOYSA-N,352.427,14.41,11.69,1.233,4.5933,644.895
332,"Benzo[mno]naphtho[2,1-c]chrysene",C28H16,1375705-71-,c1c2c3c4c5ccc6c7c5c(cc4ccc3ccc2ccc1)ccc7ccc6,HVEKTYPJDJCZQH-UHFFFAOYSA-N,352.427,14.27,10.68,1.337,5.1756,529.5635
333,"Benzo[c]naphtho[8,1,2-ghi]chrysene",C28H16,1375706-06-,c1c2c3c4c5cccc6c5c5c(cc6)cccc5c4ccc3ccc2ccc1,IQMGJFVPPIAVQA-UHFFFAOYSA-N,352.427,13.95,10.32,1.352,5.3334,480.225
334,"Tribenzo[b,def,p]chrysene",C28H16,66032-75-9,c1ccc2c(c1)c1c3c(c2)ccc2c3c(cc3c2cccc3)c2c1cccc2,GPGRJEGWCIKYDY-UHFFFAOYSA-N,352.427,15.86,11.6,1.367,5.0504,586.5379
335,"Phenanthro[9,10,1-qra]naphthacene",C28H16,120835-54-3,c1ccc2c(c1)cc1c(c2)cc2ccc3cccc4c3c2c1c1c4cccc1,GYJIQUGZJLUVPM-UHFFFAOYSA-N,352.427,15.9,11.6,1.37,4.9634,599.8676
336,"Dibenzo[h,rst]pentaphene",C28H16,192-47-2,c1ccc2c(c1)c1ccc3c4c(c5c(c(c2)c14)cccc5)cc1c3cccc1,LMNAZSSKDBUVFA-UHFFFAOYSA-N,352.427,15.9,11.66,1.363,5.2273,402.2232
337,"Dibenzo[a,j]perylene",C28H16,1918-77-,c1ccc2c(c1)c1c3c(c2)cccc3c2c3c1cccc3cc1c2cccc1,GCANSAYVHQONFB-UHFFFAOYSA-N,352.427,16.03,11.64,1.377,4.6477,587.8776
338,"Naphtho[2,1,8-fgh]pentaphene",C28H16,193018-83-,c1ccc2c(c1)cc1c(c2)c2cccc3c2c2c1cc1c(c2cc3)cccc1,GWQNZHNLKCYFOP-UHFFFAOYSA-N,352.427,15.9,11.65,1.365,5.3416,493.675
339,"Naphtho[1,2-b]perylene",C28H16,1208354-18-,c1ccc2c(c1)c1c(cc2)c2cccc3c2c(c1)c1c2c3cccc2ccc1,WUHYPVQGVLXUGA-UHFFFAOYSA-N,352.427,15.91,11.65,1.365,5.0096,470.2524
340,"Naphtho[1,2,3,4-rst]pentaphene",C28H16,191-20-8,c1ccc2c(c1)c1c3c(c2)ccc2cc4c(c(c32)c2c1cccc2)cccc4,YCBYJTZVAGWAGC-UHFFFAOYSA-N,352.427,16.01,11.66,1.374,5.1538,589.2651
341,"Benzo[a]naphtho[8,1,2-cde]naphthacene",C28H16,192-70-1,c1ccc2c(c1)cc1c(c2)cc2c3c4c(cccc4ccc13)c1c2cccc1,YEVOPXRNZORJGM-UHFFFAOYSA-N,352.427,16.04,11.39,1.408,5.0613,430.005
342,"Dibenzo[f,pqr]picene",C28H16,1208354-29-,c1cc2c(cc1)c1c(c3c2cccc3)cc2ccc3cccc4c3c2c1cc4,NRPSEXHAISRPKU-UHFFFAOYSA-N,352.427,15.61,11.06,1.411,5.2436,575.0069
343,"Benzo[b]naphtho[8,1,2-pqr]chrysene",C28H16,1375939-65-,c1ccc2c(c1)cc1c3c(c4c(cc3)cccc4)c3cccc4ccc2c1c34,ZTIZPCVOHQVKLA-UHFFFAOYSA-N,352.427,16.01,11.15,1.436,5.1702,554.2645
344,"Tribenzo[a,hi,mn]naphthacene",C28H16,54961-30-7,c1cc2c(cc1)c1c(cc2)cc2c(c1)c1cccc3c1c1c2cccc1cc3,TUVUHEIUAFAEPM-UHFFFAOYSA-N,352.427,16.16,11.13,1.451,5.4749,548.1866
345,"Dibenzo[de,uv]pentacene",C28H16,1931-13-,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1cccc3c1c1c2cccc1cc3,JQUQARYITFQBHD-UHFFFAOYSA-N,352.427,16.72,11.36,1.472,5.1321,570.6296
346,"Dibenzo[pq,uv]pentaphene",C28H16,1375939-76-,C1=C[C@H]2c3c4c1cccc4cc1c3c3c4[C@@H]2C=Cc2c4c(ccc2)cc3cc1,WYUDIYLOUQXDPM-FGZHOGPDSA-N,352.427,15.85,10.37,1.528,5.1212,566.8769
347,"Dibenzo[de,uv]pentaphene",C28H16,1208354-85-,c1ccc2c(c1)cc1c(c2)ccc2c1c1cccc3c1c1c2cccc1cc3,UFNSSSMNJMAOAN-UHFFFAOYSA-N,352.427,15.94,10.41,1.531,5.1375,562.5722
348,"Dibenzo[a,rst]pentaphene",C28H16,1208355-10-,c1ccc2c(c1)c1ccc3c4c(ccc(c2)c14)cc1c3c2c(cc1)cccc2,MTQHODFIXKKMHN-UHFFFAOYSA-N,352.427,16.24,10.56,1.538,5.1266,643.289
349,"Naphtho[2,1,8-uva]pentaphene",C28H16,1211591-80-,c1ccc2c(c1)cc1c(c2)ccc2c1c1ccc3cccc4ccc(c2)c1c34,DQYABORHGPGIET-UHFFFAOYSA-N,352.427,16.28,10.48,1.554,5.2273,627.3671
350,"Dibenzo[de,ij]pentaphene",C28H16,1208354-63-,c1c2c(ccc1)c1c3c(c2)c2c(cc3ccc1)c1c3c(c2)cccc3ccc1,BDUJSMOFXKVDAV-UHFFFAOYSA-N,352.427,15.96,10.41,1.533,4.664,461.5819
351,"Naphtho[2,1,8-def]picene",C28H16,120835-39-4,c1ccc2c3c1ccc1cccc(c31)c1c2c2c(cc1)c1c(cc2)cccc1,NMORLAMPHCGCIQ-UHFFFAOYSA-N,352.427,15.9,10.46,1.521,5.3851,553.9233
352,"Dibenzo[fg,ij]pentaphene",C28H16,1976-93-,c1c2c(ccc1)c1c3c(c2)c2c4c(c3ccc1)cccc4c1c(c2)cccc1,VCGMPHXNFLPGQK-UHFFFAOYSA-N,352.427,15.9,10.44,1.524,5.0749,401.2106
353,"Dibenzo[de,st]pentacene",C28H16,141473-87-,c1ccc2cccc3c2c1c1cc2c(c4c1c3ccc4)cc1c(c2)cccc1,DMDCUCGTRMTDIR-UHFFFAOYSA-N,352.427,16.74,10.81,1.549,5.0178,501.7076
354,"Naphtho[2,1-b]perylene",C28H16,120835-43-0,c1cc2cccc3c2c(c1)c1cccc2c1c3cc1c2c2c(cc1)cccc2,WSGYFFITETVLQO-UHFFFAOYSA-N,352.427,16.22,10.28,1.577,5.0205,611.8247
355,"Dibenzo[a,pqr]picene",C28H16,120835-40-7,c1ccc2ccc3c4c2c1ccc4cc1c3ccc2c1c1c(cc2)cccc1,BONCTFIYKUPQBM-UHFFFAOYSA-N,352.427,16.26,10.14,1.603,5.1593,621.0433
356,"Dibenzo[fg,qr]pentacene",C28H16,1977-40-,c12cc3c(c4c1c(ccc4)c1c4c2cccc4c2c(c1)cccc2)cccc3,CQZAFTXSQXUULO-UHFFFAOYSA-N,352.427,16.59,10.33,1.606,5.0858,354.1479
357,"Dibenzo[de,qr]pentacene",C28H16,120835-53-2,c12c3c(cc4c1c(c1c(c4)cccc1)ccc2)c1c2c(c3)cccc2ccc1,LLBQGLWXEFIVIW-UHFFFAOYSA-N,352.427,16.75,10.21,1.641,4.6749,483.4953
358,"Dibenzo[de,kl]pentaphene",C28H16,837860-65-,c1c2c3c(cc1)c1c(cc3ccc2)c2c(cc1)c1c3c(c2)cccc3ccc1,OXTYHSIIHSDTJZ-UHFFFAOYSA-N,352.427,15.99,9.174,1.743,4.2912,409.5711
359,"Benzo[mno]naphtho[1,2-c]chrysene",C28H16,1208354-96-,c1cc2ccc3cc4c(c5c3c2c(c1)cc5)c1c(cc4)c2c(cc1)cccc2,DKMOAGLLCMLTOC-UHFFFAOYSA-N,352.427,16.78,9.464,1.773,5.1865,656.7082
360,"Benzo[a]naphtho[8,1,2-lmn]naphthacene",C28H16,1900-12-,c1cc2c(cc1)c1c(cc2)cc2c(c1)c1ccc3cccc4ccc(c2)c1c34,CMEDUXLBSGSJMA-UHFFFAOYSA-N,352.427,16.64,9.548,1.743,5.0559,603.07
361,Benzo[vwx]hexaphene,C28H16,2828-72-0,c1ccc2c(c1)cc1c(c2)cc2ccc3cc4c(cccc4)c4c3c2c1cc4,CGWAWXCCHAVXRY-UHFFFAOYSA-N,352.427,18.08,9.869,1.832,4.9933,510.9029
362,"Benzo[a]naphtho[2,1,8-hij]naphthacene",C28H16,1900-56-,c1cccc2c1ccc1c2cc2c(c1)c1ccc3cccc4ccc(c2)c1c34,OSLBRLODERITIF-UHFFFAOYSA-N,352.427,17.98,9.542,1.884,5.0314,726.3548
363,"Naphtho[2,1,8-uva]pentacene",C28H16,1964-52-,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1ccc3cccc4ccc(c2)c1c34,VOOIVKLLIFRUDQ-UHFFFAOYSA-N,352.427,18.41,9.62,1.913,4.7783,628.0957
364,"Anthra[2,1,9-qra]naphthacene",C28H16,189-52-6,c1ccc2c(c1)cc1c(c2)cc2ccc3c4c(cc5c3cccc5)ccc1c24,KACIMOBULRHMAM-UHFFFAOYSA-N,352.427,18.4,9.545,1.928,4.8083,482.3324
365,"Naphtho[8,1,2-cde]pentaphene",C28H16,120835-50-9,c1ccc2c(c1)cc1c(c2)ccc2c1cc1ccc3cccc4ccc2c1c34,ISZKDMVDQOVYMB-UHFFFAOYSA-N,352.427,18.01,9.2,1.958,5.1566,339.884
366,"Dibenzo[c,pqr]picene",C28H16,1208354-41-,c1ccc2c3c1ccc1cc4c(c(cc2)c31)ccc1c4ccc2c1cccc2,VRLCJMJBJNLVMI-UHFFFAOYSA-N,352.427,18.02,9.197,1.959,5.1702,487.1604
367,"Dibenzo[c,rst]pentaphene",C28H16,120835-52-1,c1ccc2c(c1)c1c3c(c2)ccc2cc4c(c(c32)cc1)ccc1c4cccc1,WDKJMEWQXFIYHH-UHFFFAOYSA-N,352.427,18.02,9.196,1.96,5.094,584.262
368,"Dibenzo[b,tuv]picene",C28H16,1891-84-,c1ccc2c(c1)c1c3c(c2)ccc2c3c(cc3c2ccc2c3cccc2)cc1,NVIAXPZVJZAHGU-UHFFFAOYSA-N,352.427,18.02,9.197,1.959,5.0151,360.7529
369,"13H-Dibenzo[a,de]naphth[2,3-h]anthracene",C29H18,,c1c2c3c(cc1)c1c(cc3c3c(c2)cccc3)ccc2=Cc3c(Cc12)cccc3,SYZXMHNYXALABC-UHFFFAOYSA-N,366.453,17.49,10.32,1.695,4.4055,898.5318
370,"4H-Dibenzo[a,de]pentacene",C29H18,,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1cccc3c1c(c2)c1c(C3)cccc1,BZZXPEWKRBRGLZ-UHFFFAOYSA-N,366.453,18.34,11.05,1.659,4.9552,734.9788
371,"Dicyclopenta[a,j]coronene",C30H14,90207-46-8,C1=CC=c2c1c1c3c4c2ccc2c4c4c5c3c(ccc5c3=CC=Cc3c4cc2)cc1,QYRHBVOHGUVYHX-UHFFFAOYSA-N,374.432,16.25,11.68,1.392,4.9225,915.6128
372,"Dibenz[e,ghi]indeno[1,2,3,4-pqra]perylene",C30H14,75449-96-6,c1c2c(ccc1)c1c3c4c2ccc2c4c4c5c3c3c(c5ccc4cc2)cccc3c1,HSPVWCDUOWARPN-UHFFFAOYSA-N,374.432,13.77,12.34,1.115,5.3144,527.1401
373,"Dibenzo[mn,qr]fluoreno[2,1,9,8,7-defghi]naphthacene",C30H14,76759-99-4,c12c3c4c5c1ccc1c5c5c(c4c4cccc6ccc(cc2)c3c46)cccc5cc1,WYWCEAIEPKOSCQ-UHFFFAOYSA-N,374.432,14.29,11.51,1.241,5.3797,468.1347
374,"Dibenzo[bc,ef]coronene",C30H14,190-31-8,c1ccc2cc3ccc4ccc5c6c4c3c3c2c1c1cccc2c1c3c6c(c2)cc5,YVVKYYLDAVMMPF-UHFFFAOYSA-N,374.432,12.85,11.68,1.1,4.7729,544.2617
375,"Naphtho[8,1,2-abc]coronene",C30H14,6596-38-9,c1ccc2c3c1ccc1cc4ccc5c6c4c(c31)c1c3c(ccc(c63)cc5)ccc21,NWMLYQXCBXWZRG-UHFFFAOYSA-N,374.432,14.09,11.66,1.209,5.1593,545.8136
376,"Dibenzo[bc,kl]coronene",C30H14,190-55-6,c1ccc2cc3ccc4cc5cccc6c5c5c4c3c3c2c1cc1ccc(c6)c5c31,HIPGYGZSSWEWRX-UHFFFAOYSA-N,374.432,15.83,11.69,1.355,4.6831,396.1828
377,"Naphth[1',2':5,6]indeno[1,2,3-cd]pyrene",C30H16,106404-28-8,c1cccc2c1ccc1c2cc2c(c1)c1ccc3c4c1c2cc1cccc(c41)cc3,QKWGKDCTNHZFFH-UHFFFAOYSA-N,376.448,16.91,10.41,1.625,5.328,410.8071
378,"Naphth[2',1':4,5]indeno[1,2,3-cd]pyrene",C30H16,106404-29-9,c1cc2c3c(c1)cc1c4c3c(ccc4c3c1c1c(cc3)cc3c(c1)cccc3)cc2,LFRIIMQTTMOUKG-UHFFFAOYSA-N,376.448,16.58,11.12,1.49,5.1103,447.1421
379,"Tribenzo[a,e,ghi]perylene",C30H16,120835-60-1,c12c3c4c5c6c1c(ccc6c1c(c5cc5c4cccc5)cccc1)ccc2ccc3,FEVGKFGYWSYWRS-UHFFFAOYSA-N,376.448,13.84,12.84,1.078,5.1348,514.9709
380,"Benzo[a]naphtho[2,1,8-cde]perylene",C30H16,120835-66-7,c1ccc2c(c1)c1ccc3c4c1c1c2c2cccc5c2c(c1cc4ccc3)ccc5,ZOBMOFSUODKEIF-UHFFFAOYSA-N,376.448,13.7,11.85,1.156,4.7919,522.4888
381,"Dibenzo[c,hi]naphtho[3,2,1,8-mnop]chrysene",C30H16,120835-72-5,c1cc2c3c(c1)cc1c4c5c(cccc5cc(c34)cc2)c2c1c1c(cc2)cccc1,YMEPVYJJZZSKAE-UHFFFAOYSA-N,376.448,14.38,12.53,1.148,4.9851,500.9079
382,"Benzo[b]naphtho[1,2,3,4-pqr]perylene",C30H16,53156-62-0,c12cccc3c1c1c(c4c(c5c1c1c2cccc1cc5)cccc4)c1c3cccc1,BLVGGEGKRGWNNL-UHFFFAOYSA-N,376.448,13.7,11.85,1.156,5.1511,522.4887
383,"Tribenzo[b,e,ghi]perylene",C30H16,120835-62-3,c1c2c3c4c(ccc5ccc6cccc2c6c45)c2c(c3c3c1cccc3)cccc2,LHAYMHNOBWGERD-UHFFFAOYSA-N,376.448,14.16,12.08,1.172,5.2763,540.9393
384,"Benzo[h]naphtho[7,8,1,2,3-pqrst]pentaphene",C30H16,120835-69-0,c1ccc2c(c1)c1cc3ccc4cccc5cc6c(c1c(c2)c1c6cccc1)c3c45,JAOBWIKYHXICKU-UHFFFAOYSA-N,376.448,15.87,12.9,1.231,5.0205,446.9129
385,"Phenanthro[9,10,1,2,3-pqrst]pentaphene",C30H16,120835-79-2,c1ccc2c(c1)c1c3c(c2)ccc2cc4cccc5c4c(c32)c(c1)c1c5cccc1,BYQIQZSJPRKIIX-UHFFFAOYSA-N,376.448,15.89,12.9,1.232,5.0042,449.0236
386,"Benzo[a]naphtho[2,1,8-lmn]perylene",C30H16,120835-71-4,c1cc2ccc3ccc4c5c3c2c(c1)cc5c1c2c(cc3c1c4ccc3)cccc2,VSYAJZLZQBCMLT-UHFFFAOYSA-N,376.448,14.38,11.74,1.225,4.7674,600.7408
387,"Tetrabenzo[de,hi,mn,qr]naphthacene",C30H16,385-13-7,c1ccc2c3c1ccc1cccc(c31)c1c2c2cccc3c2c2c1cccc2cc3,GXLNAHLOKJQKHW-UHFFFAOYSA-N,376.448,14.07,11.43,1.231,5.1811,489.5503
388,"Anthra[9,1,2-bcd]perylene",C30H16,120864-21-3,c1cc2c3c(c1)cccc3c1ccc3ccc4cc5c(c6cc2c1c3c46)cccc5,QRLZRXFHXCKABE-UHFFFAOYSA-N,376.448,15.37,11.63,1.322,4.8001,565.5749
389,"Benzo[a]naphtho[8,1,2-klm]perylene",C30H16,120835-73-6,c12cccc3c1c(c1c(c3)cccc1)c1ccc3ccc4cccc5c4c3c1c2c5,YQHZAXZBXPQLBH-UHFFFAOYSA-N,376.448,15.38,11.43,1.345,4.7402,684.4419
390,"Dibenzo[de,mn]naphtho[2,1,8-qra]naphthacene",C30H16,120835-68-9,c12cc3c4c5c1c(c1c(c5ccc4ccc3)c3c4c(c1)cccc4ccc3)ccc2,UYAKCOSUNHRGHJ-UHFFFAOYSA-N,376.448,15.41,11.45,1.346,4.3484,865.8318
391,"Tribenzo[a,cd,lm]perylene",C30H16,92411-20-6,c12c3c(ccc4c3c(c3c1cccc3)ccc4)c1c3c2ccc2c3c(cc1)ccc2,WTHOOQLORGYFTC-UHFFFAOYSA-N,376.448,15.8,11.6,1.362,4.996,651.2766
392,"Phenanthro[1,2,3,4-ghi]perylene",C30H16,120835-58-7,c12cccc3c1c1c(cc3)c3c(c4c1c1c2cccc1cc4)ccc1c3cccc1,VUFURXZETIQKNL-UHFFFAOYSA-N,376.448,15.86,11.65,1.361,5.1674,581.8386
393,"Benzo[pqr]naphtho[1,2-b]perylene",C30H16,120835-57-6,c1cc2c(cc1)c1c(cc2)c2cccc3c2c2c1ccc1c2c2c3cccc2cc1,OLERCWNZGJZODU-UHFFFAOYSA-N,376.448,15.88,11.65,1.363,5.2328,583.6706
394,"Benzo[lm]naphtho[1,8-ab]perylene",C30H16,97938-05-1,c1ccc2c3c4c(ccc5cccc(c45)cc3)c3c2c1c1c2c3cccc2ccc1,CCXMBMLHOVCLOL-UHFFFAOYSA-N,376.448,15.82,11.59,1.366,4.7892,681.153
395,"Benzo[rst]naphtho[2,1,8-fgh]pentaphene",C30H16,120835-64-5,c12c3cc4c(c1ccc1c2c2c5c3cccc5ccc2c2c1cccc2)cccc4,KBFXAHANLGIPAV-UHFFFAOYSA-N,376.448,15.91,11.65,1.365,5.1266,517.7571
396,"Benzo[a]naphtho[1,2,3,4-ghi]perylene",C30H16,120835-76-9,c1ccc2c(c1)c1c3cccc4ccc5c(c6c(ccc(c2)c16)c1c5cccc1)c34,GTWVPPCIONNYNI-UHFFFAOYSA-N,376.448,15.88,11.62,1.367,4.9253,600.5397
397,"Benzo[uv]naphtho[2,1,8,7-defg]pentaphene",C30H16,120835-86-1,c1ccc2c(c1)cc1c(c2)cc2ccc3ccc4c5c3c2c1c1cccc(c51)cc4,UIBKCGJLTZRDQQ-UHFFFAOYSA-N,376.448,15.94,11.62,1.372,4.8545,637.188
398,"Tribenzo[a,ghi,k]perylene",C30H16,120835-75-8,c1ccc2c3c4c(ccc5ccc6c(c2c1c1c6cccc1)c45)cc1c3cccc1,QJLWGURNVYJNGJ-UHFFFAOYSA-N,376.448,15.89,11.61,1.369,5.1049,593.4562
399,"Anthra[2,1,9,8-defgh]pentaphene",C30H16,120835-77-0,c1ccc2cc3ccc4cccc5c4c3c3c(c5)c4c(c1c23)cc1c(c4)cccc1,DJMWNEQPMLAFAY-UHFFFAOYSA-N,376.448,15.92,11.64,1.368,5.0776,587.4131
400,"Benzo[ghi]naphtho[2,1-a]perylene",C30H16,120835-59-8,c1cc2c(cc3ccc4ccc5c6c4c3c2c2cccc(c62)cc5)c2c1cccc2,UWXFJNDUGABLCN-UHFFFAOYSA-N,376.448,15.88,11.62,1.366,5.0967,618.4967
401,"Dibenzo[b,qr]naphtho[3,2,1,8-defg]chrysene",C30H16,120835-61-2,c1ccc2cc3c4c5c(cccc5cc5c4c2c1c1c5cccc1)c1c3cccc1,FOHSOHCTRFXWFT-UHFFFAOYSA-N,376.448,15.93,11.62,1.371,5.1049,566.1184
402,"Anthra[8,9,1,2-cdefg]benzo[a]naphthacene",C30H16,120835-82-7,c1ccc2c(c1)c1ccc3cc4cccc5c4c4c(cc(c2)c1c34)c1c5cccc1,GYBNVDCCHHYWLC-UHFFFAOYSA-N,376.448,16.06,11.38,1.41,4.8382,424.7848
403,"Benzo[de]naphtho[8,1,2,3-stuv]picene",C30H16,120835-74-7,c1c2c(ccc1)c1c(cc2)c2c3c4c1cccc4cc1c3c3c(c2)cccc3cc1,LUINPDMGNVSADB-UHFFFAOYSA-N,376.448,16.03,11.15,1.438,4.9906,601.5217
404,"Benzo[ghi]naphtho[2,1-b]perylene",C30H16,120835-63-4,c1cc2c3c4c1ccc1cccc(c41)c1cc4c(c(c31)cc2)c1c(cc4)cccc1,HTZQXJJZKYPRFF-UHFFFAOYSA-N,376.448,16.22,11.1,1.461,5.211,625.6053
405,"Benzo[uv]naphtho[2,1,8,7-defg]pentacene",C30H16,5869-31-8,c1c2c3c(ccc4ccc5ccc6cccc2c6c5c34)c2c1cc1c(c2)cccc1,QCOXVGHCRVFZSX-UHFFFAOYSA-N,376.448,16.73,11.37,1.472,5.0423,560.9785
406,"Benzo[pqr]naphtho[2,1,8-def]picene",C30H16,100684-90-0,c1cc2cccc3c2c2c1cccc2c1c3cc2ccc3cccc4c3c2c1cc4,LRZPEWVPBLTOFO-UHFFFAOYSA-N,376.448,16.12,11.06,1.457,5.2191,625.5056
407,"Benzo[a]naphtho[7,8,1,2,3-pqrst]pentaphene",C30H16,120835-78-1,c1c2c(ccc1)ccc1c2c2c3c(c1)ccc1c3c3c4c(c1)cccc4ccc3c2,PPGJMGKLRHCFEX-UHFFFAOYSA-N,376.448,16.27,10.96,1.485,4.9389,705.4654
408,"Benzo[st]naphtho[2,1,8,7-defg]pentacene",C30H16,14258-76-5,c1cc2c3c4c1c1c(c5cccc(c45)c4cccc(c34)cc2)cc2c(c1)cccc2,NNKRYFIKJLIDKC-UHFFFAOYSA-N,376.448,16.59,11.14,1.489,5.3062,467.5448
409,"Benzo[qr]naphtho[2,1,8,7-fghi]pentacene",C30H16,190-87-4,c1cc2c3c4c5c(cccc5c5c(c14)cccc5)c1cc4c(c(c31)cc2)cccc4,AVVLVJLIKRMPQZ-UHFFFAOYSA-N,376.448,16.59,11.13,1.49,5.2273,638.6555
410,"Benzo[pqr]naphtho[2,1-b]perylene",C30H16,120835-56-5,c1c2c(ccc1)ccc1c2c2c3c4c1ccc1c4c4c(c3ccc2)cccc4cc1,MZWXMDCNEAGOMO-UHFFFAOYSA-N,376.448,15.9,10.42,1.526,5.2491,596.513
411,"Tribenzo[b,n,pqr]perylene",C30H16,190-81-8,c1cc2c3c4c1c1c(c5cccc(c45)c4cccc(c34)c3c2cccc3)cccc1,OCHHCTQLQKUZDD-UHFFFAOYSA-N,376.448,15.92,10.42,1.528,5.4069,528.7865
412,"Benzo[kl]naphtho[2,1,8,7-defg]pentaphene",C30H16,120835-70-3,c1ccc2c3c1cc1c4c3c(ccc4cc3c1cc1cccc4c1c3ccc4)cc2,DICGCMVUAAWZHU-UHFFFAOYSA-N,376.448,15.97,10.39,1.537,4.5606,593.459
413,"Benzo[ij]naphtho[2,1,8,7-defg]pentaphene",C30H16,105786-27-4,c12cc3c(c4c1c(ccc4)c1c4c2cc2cccc5c2c4c(cc1)cc5)cccc3,DHDHBITZFCYQKM-UHFFFAOYSA-N,376.448,15.93,10.41,1.53,4.928,572.5316
414,"Tribenzo[de,ij,rst]pentaphene",C30H16,120835-65-6,c12cccc3c1c(ccc3)c1c3c2ccc2c3c3c(c1)cccc3c1c2cccc1,UPNRPKRIANSMOP-UHFFFAOYSA-N,376.448,15.95,10.41,1.532,4.9552,422.7089
415,"Benzo[de]naphtho[2,1,8,7-qrst]pentacene",C30H16,120835-83-8,c12cccc3c1c(ccc3)c1c3c2ccc2c3c3c(c1)cc1c(c3cc2)cccc1,XYALSAQVCZEFSE-UHFFFAOYSA-N,376.448,16.75,10.79,1.552,4.8355,500.4788
416,"Benzo[qr]naphtho[2,1,8,7-defg]pentacene",C30H16,120835-67-8,c12cc3c(c4c1c(ccc4)c1c4c2ccc2c4c4c(c1)cccc4cc2)cccc3,YHIJZUCFUYUFQG-UHFFFAOYSA-N,376.448,16.59,10.33,1.606,4.9361,443.9275
417,"Naphtho[3,2,1,8,7-vwxyz]hexaphene",C30H16,120835-85-0,c1ccc2c(c1)cc1c(c2)cc2ccc3cc4cccc5c4c4c3c2c1cc4cc5,XJGUAFMKUWDBLK-UHFFFAOYSA-N,376.448,18.02,10.44,1.726,4.8872,419.5748
418,Pyranthrene,C30H16,191-13-9,c1ccc2c(c1)c1c3c(c2)ccc2cc4c5c(c32)c(c1)ccc5cc1c4cccc1,LNKHTYQPVMAJSF-UHFFFAOYSA-N,376.448,18.01,10.44,1.726,4.8817,712.9453
419,"Benzo[c]naphtho[7,8,1,2,3-pqrst]pentaphene",C30H16,120835-80-5,c1ccc2cc3ccc4cc5c(c6c4c3c3c2c1ccc3c6)ccc1c5cccc1,QHNPLRSUUYSKEL-UHFFFAOYSA-N,376.448,17.94,10.36,1.732,4.928,787.8239
420,"Phenanthro[2,3,4,5-tuvab]picene",C30H16,120835-81-6,c1cccc2c1ccc1c2cc2cc3ccc4cccc5c4c3c3c2c1ccc3c5,FFIHWIQHLLNLAM-UHFFFAOYSA-N,376.448,17.73,10.23,1.734,4.8246,795.1438
421,"Naphtho[7,8,1,2,3-tuvwx]hexaphene",C30H16,119123-36-3,c1ccc2c(c1)c1c3c(c2)cc2ccc4cc5c(c6c4c2c3c(c6)cc1)cccc5,NVKAEGHHFQEBFC-UHFFFAOYSA-N,376.448,17.96,10.35,1.734,4.8083,446.1775
422,"Tribenzo[de,kl,rst]pentaphene",C30H16,188-72-7,c12cccc3c1c(ccc3)c1c3c2ccc2c3c(cc1)c1c3c2cccc3ccc1,BIGSSBUECAXJBO-UHFFFAOYSA-N,376.448,15.96,9.168,1.741,4.6804,391.3689
